"Date","Time","NR","PM GR","PM JU","T GR","T KL"
"01.10.10","00:00",1,13.69,12.76,10.07,6.61
"01.10.10","00:30",2,13.34,13.29,10.15,6.71
"01.10.10","01:00",3,14.13,12.92,9.95,6.68
"01.10.10","01:30",4,17.56,11.83,9.88,6.55
"01.10.10","02:00",5,16.89,11.63,9.79,6.6
"01.10.10","02:30",6,14.02,11.02,9.71,6.7
"01.10.10","03:00",7,14.59,12.89,9.76,6.66
"01.10.10","03:30",8,17.03,18.58,9.74,6.55
"01.10.10","04:00",9,16.3,17.8,9.82,6.47
"01.10.10","04:30",10,13.17,15.52,9.88,6.49
"01.10.10","05:00",11,13.86,16.28,9.87,6.45
"01.10.10","05:30",12,16.86,18.59,9.87,6.41
"01.10.10","06:00",13,17.88,19.25,9.84,6.39
"01.10.10","06:30",14,22.27,21.23,9.8,6.38
"01.10.10","07:00",15,22.93,21.75,9.88,6.45
"01.10.10","07:30",16,25.74,23.29,10.1,6.47
"01.10.10","08:00",17,27.45,23.79,10.41,6.64
"01.10.10","08:30",18,34.91,25.27,10.25,6.73
"01.10.10","09:00",19,34.41,26.58,10.27,6.81
"01.10.10","09:30",20,32.24,30.55,10.21,6.84
"01.10.10","10:00",21,32.16,30.33,10.26,6.82
"01.10.10","10:30",22,31.86,29.69,10.27,6.92
"01.10.10","11:00",23,33.39,30.59,10.45,7.05
"01.10.10","11:30",24,40.09,33.25,10.41,7.12
"01.10.10","12:00",25,40.71,33.08,10.6,7.38
"01.10.10","12:30",26,43.33,32.51,10.94,7.46
"01.10.10","13:00",27,41.8,32.02,11.34,7.77
"01.10.10","13:30",28,34.99,30.52,11.42,8.06
"01.10.10","14:00",29,34.53,30.44,11.54,8.09
"01.10.10","14:30",30,32.52,30.2,11.57,8.02
"01.10.10","15:00",31,32.88,30.92,11.83,8.03
"01.10.10","15:30",32,34.41,33.09,11.89,8
"01.10.10","16:00",33,33.43,32.67,11.92,8.08
"01.10.10","16:30",34,29.25,31.41,11.85,8.22
"01.10.10","17:00",35,30.04,30.37,11.9,8.21
"01.10.10","17:30",36,33.5,27.25,11.71,8.08
"01.10.10","18:00",37,33.34,28.87,11.65,7.93
"01.10.10","18:30",38,32.67,33.62,11.5,7.9
"01.10.10","19:00",39,32.74,32.56,11.4,7.98
"01.10.10","19:30",40,33.05,29.37,11.32,7.87
"01.10.10","20:00",41,34,30.45,11.17,7.77
"01.10.10","20:30",42,38.17,33.61,11.12,7.7
"01.10.10","21:00",43,38.67,33.82,11.04,7.66
"01.10.10","21:30",44,40.77,34.42,11.16,7.72
"01.10.10","22:00",45,39.74,34.59,11.24,7.84
"01.10.10","22:30",46,35.3,35.1,11.3,7.84
"01.10.10","23:00",47,37.08,34.8,11.01,7.98
"01.10.10","23:30",48,44.82,33.89,10.88,7.96
"02.10.10","00:00",1,44.46,32.66,10.79,7.66
"02.10.10","00:30",2,42.86,28.93,10.87,7.78
"02.10.10","01:00",3,42.02,30.08,10.94,7.76
"02.10.10","01:30",4,38.33,33.45,10.81,7.63
"02.10.10","02:00",5,38.24,32.97,10.76,7.69
"02.10.10","02:30",6,37.83,31.53,10.69,7.67
"02.10.10","03:00",7,38.64,32.04,10.77,7.75
"02.10.10","03:30",8,42.13,33.58,10.74,7.58
"02.10.10","04:00",9,43.28,33.45,10.85,7.53
"02.10.10","04:30",10,48.22,33.11,10.81,7.6
"02.10.10","05:00",11,46.98,31.81,10.92,7.81
"02.10.10","05:30",12,41.59,27.95,10.84,7.95
"02.10.10","06:00",13,40.69,29.8,10.84,7.97
"02.10.10","06:30",14,36.85,35.35,10.87,7.98
"02.10.10","07:00",15,38.71,34.72,10.81,8.01
"02.10.10","07:30",16,46.84,32.82,10.94,8.33
"02.10.10","08:00",17,46.57,34.45,11.37,8.44
"02.10.10","08:30",18,45.43,39.35,11.62,8.26
"02.10.10","09:00",19,46.13,39.94,11.76,8.52
"02.10.10","09:30",20,49.12,41.75,11.96,8.71
"02.10.10","10:00",21,48.92,41.76,12.17,8.87
"02.10.10","10:30",22,48.04,41.84,12.36,9.12
"02.10.10","11:00",23,47.3,38.24,12.73,9.35
"02.10.10","11:30",24,44.14,27.59,13.26,9.64
"02.10.10","12:00",25,44.06,25.95,13.54,9.77
"02.10.10","12:30",26,43.7,20.97,13.85,9.94
"02.10.10","13:00",27,42.16,22.41,13.68,10.24
"02.10.10","13:30",28,35.55,26.67,14.05,10.34
"02.10.10","14:00",29,35.15,24.65,13.85,10.54
"02.10.10","14:30",30,33.43,18.72,14.08,10.51
"02.10.10","15:00",31,32.55,19.43,14.22,10.6
"02.10.10","15:30",32,28.69,21.58,14.25,10.67
"02.10.10","16:00",33,28.84,21.68,14.47,10.6
"02.10.10","16:30",34,29.48,21.97,14.27,10.35
"02.10.10","17:00",35,29.03,24.6,14.18,10.13
"02.10.10","17:30",36,27.08,32.39,14.13,10.09
"02.10.10","18:00",37,27.94,32.15,13.85,10.05
"02.10.10","18:30",38,31.71,31.48,13.77,9.94
"02.10.10","19:00",39,33.45,30.72,13.57,9.91
"02.10.10","19:30",40,40.95,28.46,13.37,9.65
"02.10.10","20:00",41,39.42,29.58,13.27,9.48
